event_name,event_lat,event_lon,stop_id,stop_name,stop_lat,stop_lon,distance
Kinsale St. Patrick's Maritime Parade 2026,51.7060502,-8.5225014,8380B247191,Kinsale,51.7056067601612,-8.52182635309584,0.0008076677617982859
Knockbride Festival Family Fun Day,53.9875971,-6.994836299999999,8520LL14245,Canningstown,53.98056,-7.04704,0.05267586800518941
Kyla Cobbler - Not My Lemons,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
Kyla Cobbler: Not My Lemons,52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
Lahinch Trad Festival 2026,52.9334632,-9.3440769,8360B3509601,Lahinch,52.93367,-9.34482,0.0007713389981078308
Let's Dance,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
Lewis Barfoot at The Cat & Cage Club,53.3711919,-6.2532521,8220DB007603,Saint Patrick's Campus,53.371577,-6.253183,0.0003912503290759115
Listowel Writers' Week 2026,52.4447194,-9.4870879,8390B335541,Listowel,52.445133,-9.486602,0.0006380938567345702
Live in the Marquee at Carndonagh,55.2510972,-7.261797,853000124,Carndonagh,55.251298,-7.261389,0.00045473579142194296
LoGaCulture Concert: “Music from the Boyne Valley” and DreaMR,53.3423388,-6.2501342,8220B111761,Westland Row Church,53.342626,-6.250132,0.00028720842606272444
Lón le Gaeilge – Lunch with Irish,52.26568169999999,-9.7063789,8390LL11011,Tralee Denny Street,52.266861,-9.706379,0.0011793000042508996
Macbeth - Volta Theatre Company,52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
Magdalene Ho & Friends: French Elegance & Eastern Fire,52.0655322,-7.869051599999999,845000054,Villierstown,52.08854,-7.85106,0.029207131516121827
Mammy Mia! Here We Go Again,53.3355007,-6.2566432,8220DB000845,Leeson Street Lower,53.335453,-6.256252,0.0003940973610667074
Margins: Fine art Photography by Michael Corrigan,53.342295,-6.262154799999999,8220DB001279,College Green,53.34426,-6.261705,0.002015823662921244
Matinee: Born to Dance by Kerry School of Music Dance Academy,52.2666168,-9.7083368,8390B635851,Tralee Prince's Street,52.266953,-9.709685,0.0013894868405283879
Metronome: Paul G. Smyth; Joanna Mattrey,53.3346479,-6.2587823,8220DB001013,Earlsfort Terrace,53.334181,-6.258346,0.000639025273364818
Mícheál Ó Cléirigh Summer School 2026,54.546667,-8.205543,853000260,Rossnowlagh Friary,54.547818,-8.203895,0.0020101504918797137
Mike Denver & Guests In Concert,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
Mike Rice: Cruel Little Man,53.34267639999999,-6.2778366,8220DB001938,Cornmarket,53.342978,-6.276761,0.0011170845626043064
Mozartly Mozart! BVOF 2026 Recital Waterford,52.12525249999999,-7.4800112,845000127,Stradbally,52.13109,-7.46165,0.019266812701901528
